word,kind,reading,level
function,名詞,機能、関数,basic
eneral,形容詞,全般の、一般の,basic
generate,動詞,生成する,basic
global,形容詞,グローバルな、大域の,basic
graphic,名詞,グラフィック、画像,basic
guide,名詞,ガイド,basic
hardware,名詞,ハードウェア,basic
height,名詞,高さ,basic
hide,動詞,隠す、非表示にする,basic
highlight,名詞,ハイライト／強調表示する,basic
host,名詞,ホスト,basic
icon,名詞,アイコン,basic
ignore,動詞,無視する,basic
image,名詞,画像、イメージ,basic
import,名詞,インポート／インポートする,basic
including,前置詞,〜を含めて,basic
index,名詞,インデックス、索引、添字,basic
indicate,動詞,示す,basic
input,動詞,入力／入力する,basic
install,動詞,インストールする,basic
installer,名詞,インストーラー,basic
instance,名詞,インスタンス、実例,basic
instruction,名詞,指示,basic
integer,名詞,整数,basic
interface,名詞,インターフェイス,basic
issue,名詞,問題点,basic
item,名詞,項目,basic
label,名詞,ラベル／ラベルを貼る,basic
latest,形容詞,最近の,basic
layer,名詞,レイヤー、層,basic
layout,名詞,レイアウト,basic
length,名詞,長さ,basic
level,名詞,レベル、水準,basic
library,名詞,ライブラリー,basic
license,名詞,ライセンス／ライセンス供与する,basic
limit,動詞,制限する／制限,basic
link,動詞,リンク／リンクする,basic
local,形容詞,ローカルの、局所の,basic
location,名詞,位置、場所,basic
lock,動詞,ロックする／ロック,basic
log,名詞,ログ／ログを取る,basic
login,名詞,ログイン,basic
loop,名詞,ループ,basic
manage,動詞,管理する,basic
manager,名詞,マネージャー,basic
media,名詞,メディア,basic
memory,名詞,メモリー,basic
merge,動詞,マージする、統合する,basic
method,名詞,メソッド、方法,basic
missing,形容詞,見つからない、欠落している,basic
mode,名詞,モード,basic
module,名詞,モジュール,basic
network,名詞,ネットワーク,basic
node,名詞,ノード,basic
none,代名詞,一つもなし,basic
normal,形容詞,標準の,basic
note,名詞,注意／〜に注意する,basic
notice,名詞,通知、注意,basic
null,形容詞,空の、nullの／null,basic
occur,動詞,発生する,basic
operation,名詞,操作、処理,basic
option,名詞,オプション,basic
optional,形容詞,任意の、オプションの,basic
output,名詞,出力／出力する,basic
override,動詞,オーバーライドする、優先する,basic
owner,名詞,所有者、オーナー,basic
package,名詞,パッケージ,basic
pane,名詞,ペイン、ウィンドウ,basic
parameter,名詞,パラメーター、仮引数,basic
pass,動詞,渡す,basic
patch,名詞,パッチ、修正プログラム,basic
path,名詞,パス,basic
perform,動詞,実行する,basic
performance,名詞,性能、パフォーマンス,basic
permission,名詞,許可、パーミッション,basic
physical,形容詞,物理的な,basic
pool,名詞,プール,basic
popup,名詞,ポップアップ,basic
port,名詞,ポート,basic
position,名詞,位置,basic
press,動詞,押す,basic
preview,名詞,プレビュー／プレビューする,basic
previous,形容詞,前の,basic
print,動詞,印刷する、出力する,basic
process,名詞,プロセス、処理／処理する,basic
profile,名詞,プロファイル、プロフィール,basic
properly,副詞,適切に、正常に,basic
property,名詞,プロパティー,basic
protect,動詞,保護する,basic
provide,動詞,提供する,basic
public,形容詞,公開の,basic
publish,動詞,公開する,basic
pull,動詞,プルする、取得する／プル,basic
push,動詞,押す、プッシュする,basic
query,名詞,クエリー、問い合わせ,basic
range,名詞,範囲,basic
real-time,形容詞,リアルタイムの,basic
receive,動詞,受信する,basic
recommend,動詞,推奨する,basic
record,名詞,記録する／記録、レコード,basic
refactor,動詞,リファクタリングする、リファクターする,basic
refer,動詞,参照する,basic
reference,名詞,参照、リファレンス／参照する,basic
release,動詞,リリースする、公開する,basic
remove,動詞,削除する,basic
rename,動詞,名前を変更する,basic
replace,動詞,置換する,basic
report,動詞,報告する／レポート,basic
request,動詞,要求、リクエスト／要求する,basic
require,動詞,必要とする,basic
reset,動詞,リセットする,basic
resource,名詞,リソース、資源,basic
respond,動詞,応答する、返信する,basic
response,名詞,応答,basic
restart,動詞,再起動する,basic
result,名詞,結果,basic
right-click,動詞,右クリックする,basic
role,名詞,役割、ロール,basic
root,名詞,ルート,basic
route,名詞,経路、ルート,basic
row,名詞,行,basic
save,動詞,保存する,basic
scan,動詞,スキャンする、走査する,basic
schedule,名詞,予定、スケジュール／予定する,basic
screen,名詞,画面,basic
script,名詞,スクリプト,basic
scroll,動詞,スクロールする,basic
search,動詞,検索する／検索,basic
security,名詞,セキュリティー,basic
select,動詞,選択する,basic
server,名詞,サーバー,basic
setting,名詞,設定,basic
shape,名詞,形状,basic
share,動詞,共有する,basic
shortcut,名詞,ショートカット,basic
sign,動詞,記号／サインイン(signin)する、サインアウト（signout）する,basic
skip,動詞,スキップする、とばす,basic
sort,動詞,並び替える、ソートする,basic
source,名詞,ソース、〜元（送信元など,basic
specific,形容詞,特定の,basic
specify,動詞,指定する,basic
state,名詞,状態,basic
status,名詞,状態、ステータス,basic
step,名詞,ステップ、手順,basic
store,動詞,保存する、格納する,basic
string,名詞,文字列,basic
submit,動詞,提出する、送信する,basic
successful,形容詞,成功した,basic
supply,動詞,提供する、供給する,basic
support,動詞,サポートする、支援する／サポート,basic
switch,動詞,切り替える／スイッチ,basic
system,名詞,システム,basic
tab,名詞,タブ,basic
table,名詞,表、テーブル,basic
tag,名詞,タグ,basic
target,名詞,ターゲット、対象、〜先（移動先など）,basic
task,名詞,タスク,basic
template,名詞,テンプレート,basic
temporary,形容詞,一時的な,basic
throw,動詞,スローする、投げる,basic
timeout,名詞,タイムアウト,basic
touch,動詞,タッチ／タッチする,basic
translate,動詞,変換する、翻訳する,basic
type,名詞,型、種類／（キーボードで）入力する,basic
unable,形容詞,不可能な,basic
undo,動詞,元に戻す,basic
uninstall,動詞,アンインストールする,basic
unit,名詞,単位、ユニット,basic
unused,形容詞,未使用の,basic
update,動詞,更新する／更新,basic
upgrade,動詞,アップグレードする,basic
upload,動詞,アップロードする／アップロード,basic
value,名詞,値,basic
variable,名詞,変数,basic
version,名詞,バージョン、版,basic
view,動詞,表示する／表示、ビュー,basic
warn,動詞,警告する,basic
warning,名詞,警告,basic
widget,名詞,ウィジェット,basic
width,名詞,幅,basic
wizard,名詞,ウィザード,basic
abstract,形容詞,抽象的な、抽象の,abvance
accessibility,名詞,アクセシビリティー,abvance
accessible,形容詞,アクセス可能な、利用可能な,abvance
activate,動詞,有効にする、アクティブにする,abvance
active,形容詞,有効な、アクティブな,abvance
additional,形容詞,追加の,abvance
adjust,動詞,調整する,abvance
administrator,名詞,管理者,abvance
aggregate,動詞,集約する,abvance
alias,名詞,エイリアス、別名,abvance
allocation,名詞,割り当て,abvance
annotation,名詞,アノテーション、注釈,abvance
anonymous,形容詞,無名の、匿名の,abvance
append,動詞,追加する,abvance
applicable,形容詞,該当する、適用可能な,abvance
archive,動詞,アーカイブ／アーカイブする,abvance
assert,動詞,アサートする、表明する,abvance
asset,名詞,アセット、資産,abvance
assign,動詞,割り当てる、（変数に）代入する,abvance
assignment,名詞,割り当て、（変数への）代入,abvance
associate,動詞,関連づける,abvance
attach,動詞,接続する、添付する,abvance
authentication,名詞,認証,abvance
authorize,動詞,権限を与える,abvance
automatic,形容詞,自動の,abvance
automatically,副詞,自動で、自動的に,abvance
availability,名詞,可用性,abvance
batch,名詞,バッチ,abvance
binary,形容詞,バイナリーの、二進法の,abvance
bind,動詞,バインドする,abvance
boot,動詞,起動する／起動,abvance
brace,名詞,波かっこ,abvance
bracket,名詞,角かっこ,abvance
breakpoint,名詞,ブレークポイント,abvance
browse,動詞,閲覧する、参照する,abvance
buffer,名詞,バッファー／バッファー処理する,abvance
bump,動詞,バージョンを上げる,abvance
bundle,動詞,バンドル／バンドルする,abvance
calculate,動詞,計算する,abvance
callback,名詞,コールバック,abvance
capability,名詞,機能,abvance
capture,動詞,取り込む、キャプチャーする,abvance
caret,名詞,文字入力カーソル、カレット,abvance
cast,動詞,キャストする,abvance
certificate,名詞,証明書,abvance
checkout,名詞,チェックアウト,abvance
clarify,動詞,明確にする,abvance
cleanup,名詞,クリーンアップ、整理,abvance
clone,動詞,複製する、クローンする,abvance
collapse,動詞,折りたたむ、非表示にする,abvance
compatibility,名詞,互換性,abvance
compile,動詞,コンパイルする,abvance
completion,名詞,補完、完了,abvance
compress,動詞,圧縮する,abvance
compute,動詞,計算する,abvance
conditional,形容詞,条件つきの,abvance
configure,動詞,構成する、設定する,abvance
confirm,動詞,確定する、確認する,abvance
conflict,動詞,競合する／競合,abvance
constraint,名詞,制約,abvance
construct,動詞,（コンストラクターで）生成する,abvance
contact,動詞,連絡する／連絡先,abvance
contribute,動詞,貢献する,abvance
convert,動詞,変換する,abvance
coordinate,名詞,座標,abvance
copyright,名詞,著作権,abvance
crash,動詞,クラッシュする、突然停止する／クラッシュ,abvance
credential,名詞,資格情報、認証情報,abvance
debugger,名詞,デバッガー,abvance
decimal,形容詞,小数の、十進法の,abvance
declaration,名詞,宣言,abvance
declare,動詞,宣言する,abvance
decode,動詞,デコードする,abvance
dedicated,形容詞,専用の,abvance
delay,名詞,遅延,abvance
dependency,名詞,依存関係,abvance
deploy,動詞,配備する、デプロイする,abvance
deployment,名詞,配備、デプロイ,abvance
deprecated,形容詞,非推奨の,abvance
deprecation,名詞,非推奨,abvance
descriptor,名詞,記述子,abvance
destination,名詞,目的地、〜先（移動先など）,abvance
detect,動詞,検出する,abvance
digit,名詞,数字、桁,abvance
disable,動詞,無効にする,abvance
display,動詞,表示する／表示、画面,abvance
distribute,動詞,分散する、配布する,abvance
dump,動詞,ダンプする,abvance
duplicate,形容詞,重複する／複製する,abvance
duration,名詞,期間,abvance
dynamic,形容詞,動的な,abvance
dynamically,副詞,動的に,abvance
emit,動詞,発する、生成する,abvance
enable,動詞,可能にする、有効にする,abvance
encode,動詞,エンコードする、符号化する,abvance
encoding,名詞,エンコーディング、符号化,abvance
encounter,動詞,遭遇する,abvance
encryption,名詞,暗号化,abvance
endpoint,名詞,エンドポイント、端点,abvance
ensure,動詞,確実にする、確かめる,abvance
entity,名詞,エンティティー、実体,abvance
enumeration,名詞,列挙,abvance
escape,動詞,エスケープする,abvance
exclude,動詞,除外する,abvance
executable,形容詞,実行可能な／実行可能ファイル,abvance
execute,動詞,実行する,abvance
execution,名詞,実行,abvance
existing,形容詞,既存の,abvance
extend,動詞,拡張する,abvance
extension,名詞,拡張、拡張子,abvance
external,形容詞,外部の,abvance
extract,動詞,抽出する,abvance
failure,名詞,失敗、故障,abvance
fallback,名詞,フォールバック／フォールバックする,abvance
fetch,動詞,取得する、フェッチする,abvance
fire,動詞,始動する、発火する,abvance
framework,名詞,フレームワーク,abvance
functionality,名詞,機能,abvance
generation,名詞,生成、世代,abvance
generic,形容詞,汎用の、総称の、ジェネリックの,abvance
hack,名詞,ハッキング、一時回避策／ハックする、（その場しのぎで）作る,abvance
handle,動詞,処理する／ハンドル,abvance
handler,名詞,ハンドラー,abvance
handling,名詞,処理,abvance
hash,名詞,ハッシュ、ハッシュ記号,abvance
header,名詞,ヘッダー,abvance
hierarchy,名詞,階層,abvance
identifier,名詞,識別子,abvance
implement,動詞,実装する,abvance
implementation,名詞,実装,abvance
incompatible,形容詞,互換性がない,abvance
increment,名詞,増分、インクリメント／増分させる,abvance
indentation,名詞,インデント,abvance
initial,形容詞,初期の、最初の,abvance
initialization,名詞,初期化,abvance
initialize,動詞,初期化する,abvance
inline,形容詞,インラインの／インライン化する,abvance
inner,形容詞,内部の、内側の,abvance
insert,動詞,挿入する,abvance
inspect,動詞,検査する,abvance
inspection,名詞,検査,abvance
installation,名詞,インストール,abvance
interact,動詞,対話する,abvance
internal,形容詞,内部の,abvance
interval,名詞,間隔,abvance
invalid,形容詞,無効な,abvance
invoke,動詞,呼び出す,abvance
iterate,動詞,（処理を）反復する、繰り返す,abvance
latency,名詞,待ち時間,abvance
launch,動詞,起動する、開始する,abvance
listener,名詞,リスナー,abvance
load,動詞,読み込む,abvance
locale,名詞,ロケール,abvance
logic,名詞,ロジック、論理,abvance
lookup,名詞,検索、探索、ルックアップ,abvance
manual,形容詞,手動の／マニュアル,abvance
manually,副詞,手動で,abvance
map,名詞,地図／対応づける、マッピングする,abvance
master,名詞,マスター,abvance
matching,形容詞,一致する、マッチする,abvance
maximum,形容詞,最大の,abvance
metadata,名詞,メタデータ,abvance
migration,名詞,移行,abvance
millisecond,名詞,ミリ秒,abvance
minimum,形容詞,最小の,abvance
minor,形容詞,マイナーな、小さな,abvance
mock,形容詞,モックの、模造の,abvance
modification,名詞,修正、変更,abvance
modifier,名詞,修飾子,abvance
modify,動詞,修正する、変更する,abvance
monitor,動詞,監視する,abvance
multiple,形容詞,複数の,abvance
namespace,名詞,名前空間,abvance
native,形容詞,ネイティブの,abvance
navigate,動詞,移動する,abvance
navigation,名詞,ナビゲーション、移動,abvance
nested,形容詞,入れ子の、ネストされた,abvance
normalize,動詞,標準化する、正規化する,abvance
notification,名詞,通知,abvance
notify,動詞,通知する,abvance
numeric,形容詞,数値の,abvance
obtain,動詞,取得する,abvance
occurrence,名詞,出現、発生,abvance
offset,名詞,オフセット,abvance
optimize,動詞,最適化する,abvance
otherwise,副詞,そうでなければ、さもないと,abvance
overview,名詞,概要,abvance
overwrite,動詞,上書きする,abvance
padding,名詞,パディング,abvance
parenthesis,名詞,丸かっこ,abvance
parse,動詞,パースする、解析する,abvance
payload,名詞,ペイロード,abvance
permit,動詞,許可する,abvance
persistence,名詞,永続化,abvance
placeholder,名詞,プレースホルダー,abvance
plugin,名詞,プラグイン,abvance
populate,動詞,自動入力する,abvance
preference,名詞,プリファレンス、ユーザー設定,abvance
preferred,形容詞,優先の,abvance
prefix,名詞,接頭辞、プレフィックス,abvance
priority,名詞,優先順位、優先度,abvance
private,形容詞,プライベートな、非公開の,abvance
progress,名詞,進行状況,abvance
protocol,名詞,プロトコル,abvance
prototype,名詞,プロトタイプ,abvance
provider,名詞,プロバイダー,abvance
provision,名詞,プロビジョニング／供給する,abvance
proxy,名詞,プロキシ,abvance
queue,名詞,キュー、待ち行列,abvance
raw,形容詞,生の,abvance
redirect,動詞,リダイレクトする、転送する,abvance
redundant,形容詞,冗長な,abvance
refresh,動詞,更新する,abvance
register,動詞,登録する,abvance
registration,名詞,登録,abvance
registry,名詞,レジストリー,abvance
reload,動詞,再読み込みする、リロードする,abvance
remote,形容詞,遠隔の、リモートの,abvance
removal,名詞,削除、除去,abvance
render,動詞,描画する、レンダリングする,abvance
repository,名詞,リポジトリー,abvance
represent,動詞,表す,abvance
representation,名詞,表現,abvance
reserve,動詞,予約する、確保する,abvance
resize,動詞,サイズ変更する,abvance
resolution,名詞,解像度、精度、解決,abvance
resolve,動詞,解決する,abvance
restore,動詞,復元する,abvance
restriction,名詞,制限,abvance
retrieve,動詞,取得する,abvance
revert,動詞,（以前の状態に）戻る、戻す,abvance
revision,名詞,改訂、リビジョン,abvance
runtime,名詞,実行時、ランタイム,abvance
sanitize,動詞,サニタイズする,abvance
scale,動詞,（大きさを）変える,abvance
schema,名詞,スキーマ,abvance
scope,名詞,スコープ、範囲,abvance
secure,形容詞,セキュアな、安全な,abvance
separator,名詞,セパレーター、区切り,abvance
sequence,名詞,シーケンス,abvance
serialize,動詞,シリアル化する,abvance
session,名詞,セッション,abvance
setup,名詞,設定、構成、セットアップ,abvance
shutdown,名詞,シャットダウン,abvance
signature,名詞,署名、シグネチャー,abvance
simplify,動詞,簡素化する,abvance
snapshot,名詞,スナップショット,abvance
socket,名詞,ソケット,abvance
specification,名詞,仕様,abvance
split,動詞,分割する,abvance
stack,名詞,スタック,abvance
standalone,形容詞,スタンドアロンの,abvance
startup,名詞,起動、スタートアップ,abvance
static,形容詞,静的な,abvance
storage,名詞,ストレージ,abvance
stream,名詞,ストリーム,abvance
successfully,副詞,正常に,abvance
suffix,名詞,接尾辞、サフィックス,abvance
suppress,動詞,表示しない,abvance
synchronize,動詞,同期する,abvance
syntax,名詞,構文、シンタックス,abvance
terminate,動詞,終了する,abvance
termination,名詞,終了,abvance
terms,名詞,利用条件,abvance
thirdparty,名詞,サード・パーティー、第三者,abvance
thread,名詞,スレッド,abvance
timestamp,名詞,タイムスタンプ,abvance
todo,名詞,TODO、するべきこと,abvance
toggle,動詞,切り替える,abvance
token,名詞,トークン,abvance
transaction,名詞,トランザクション,abvance
transfer,動詞,転送する,abvance
transform,動詞,変換する、変形する,abvance
transition,名詞,遷移,abvance
trigger,動詞,トリガーする,abvance
tweak,動詞,微調整する,abvance
typo,名詞,入力ミス、タイポ,abvance
unauthorized,形容詞,権限のない,abvance
unavailable,形容詞,利用できない,abvance
undefined,形容詞,未定義の,abvance
unexpected,形容詞,予期しない,abvance
unique,形容詞,一意の、固有の,abvance
unknown,形容詞,不明の,abvance
unnecessary,形容詞,不要な,abvance
unresolved,形容詞,未解決の,abvance
unsupported,形容詞,非対応の、サポートされない,abvance
usage,名詞,利用、使用,abvance
username,名詞,ユーザー名,abvance
valid,形容詞,有効な,abvance
validate,動詞,（妥当性を）確認する、検証する,abvance
validation,名詞,検証,abvance
verbose,形容詞,詳細な,abvance
verify,動詞,（正しいことを）確認する、検証する,abvance
virtual,形容詞,仮想の,abvance
visibility,名詞,可視性、可視範囲,abvance
visible,形容詞,可視の、表示できる,abvance
whitespace,名詞,空白、スペース,abvance
wrap,動詞,ラップする、（テキストを）折り返す,abvance
wrapper,名詞,ラッパー,abvance
zip,動詞,（ファイルを）圧縮する,abvance
action,名詞,アクション、操作,primer
activity,名詞,アクティビティー、活動,primer
add,動詞,追加する,primer
address,名詞,アドレス、住所,primer
agree,動詞,同意する,primer
area,名詞,領域、エリア,primer
below,副詞,下記に,primer
body,名詞,本体、本文,primer
break,動詞,中断する,primer
build,動詞,構築する／ビルド,primer
button,名詞,ボタン,primer
call,動詞,呼び出す,primer
change,動詞,変更する,primer
check,動詞,確認する、チェックする,primer
child,名詞,子,primer
choose,動詞,選択する,primer
class,名詞,クラス,primer
clean,動詞,きれいな／きれいにする,primer
close,動詞,閉じる,primer
compare,動詞,比較する,primer
complete,動詞,完了する／完全な,primer
copy,動詞,コピーする／コピー,primer
correct,形容詞,正確な／訂正する,primer
create,動詞,作成する,primer
describe,動詞,説明する,primer
description,名詞,説明,primer
detail,名詞,詳細,primer
email,名詞,メール／メールを送る,primer
event,名詞,イベント、出来事,primer
example,名詞,例,primer
extra,形容詞,余分な、追加の,primer
false,形容詞,誤りの、偽の,primer
final,形容詞,最終の,primer
find,動詞,検索する,primer
finish,動詞,終了する、完了する,primer
follow,動詞,従う、フォローする,primer
form,名詞,フォーム,primer
free,形容詞,空きの、無料の,primer
get,動詞,獲得する、取得する,primer
group,名詞,グループ,primer
health,名詞,ヘルス、正常性,primer
improve,動詞,改良する、改善する,primer
include,動詞,含む、インクルードする,primer
information,名詞,情報,primer
introduce,動詞,導入する、紹介する,primer
join,動詞,結合する,primer
key,名詞,キー,primer
language,名詞,言語,primer
later,副詞,後で,primer
line,名詞,行、線,primer
list,名詞,リスト／一覧表示する,primer
make,動詞,作成する,primer
match,動詞,一致する,primer
menu,名詞,メニュー,primer
message,名詞,メッセージ,primer
model,名詞,モデル、型,primer
move,動詞,移動する,primer
name,名詞,名前,primer
next,形容詞,次の,primer
number,名詞,数,primer
object,名詞,オブジェクト、物体、対象,primer
open,動詞,開く／開いた,primer
parent,名詞,親,primer
password,名詞,パスワード,primer
play,動詞,再生する,primer
post,動詞,書き込む／投稿,primer
prepare,動詞,準備する,primer
problem,名詞,問題,primer
product,名詞,製品、プロダクト,primer
read,動詞,読み取る,primer
return,動詞,戻す、返す,primer
rule,名詞,ルール、規則,primer
run,動詞,実行する,primer
section,名詞,セクション、部分,primer
see,動詞,見る、参照する,primer
send,動詞,送信する,primer
service,名詞,サービス,primer
set,動詞,設定する,primer
show,動詞,表示する,primer
size,名詞,大きさ,primer
software,名詞,ソフトウェア,primer
space,名詞,スペース、空白,primer
start,動詞,開始する,primer
statement,名詞,ステートメント、文,primer
stop,動詞,停止する,primer
style,名詞,スタイル,primer
test,名詞,テスト／テストする,primer
traffic,名詞,トラフィック、通信（量）,primer
tree,名詞,木、ツリー,primer
true,形容詞,正しい、真の,primer
use,動詞,使う／使用,primer
useful,形容詞,便利な,primer
user,名詞,ユーザー,primer
visit,動詞,訪問する、アクセスする,primer
wait,動詞,待機する,primer
website,名詞,ウェブサイト,primer
window,名詞,ウィンドウ,primer
write,動詞,書き込む,primer
you,代名詞,あなた、ユーザー,primer
your,代名詞,あなたの、ユーザーの,primer
addr,略語,addressの略,abbreviation
admin,略語,administratorの略,abbreviation
app,略語,applicationの略,abbreviation
arg,略語,argumentの略,abbreviation
args,略語,argumentsの略,abbreviation
async,略語,asynchronization（非同期）の略,abbreviation
attr,略語,attributeの略,abbreviation
attrs,略語,attributesの略,abbreviation
auth,略語,authorization（権限付与）、authenticationの略,abbreviation
auto,略語,automatic、automaticallyの略,abbreviation
cert,略語,certified（認定された）、certificateの略,abbreviation
char,略語,characterの略,abbreviation
cmd,略語,commandの略,abbreviation
config,略語,configurationの略,abbreviation
conn,略語,connectionの略,abbreviation
ctrl,略語,Controlキーの略,abbreviation
cur,略語,current、cursorの略,abbreviation
db,略語,databaseの略,abbreviation
deps,略語,dependenciesの略,abbreviation
dest,略語,destinationの略,abbreviation
dev,略語,developer、developmentの略,abbreviation
dict,略語,dictionaryの略,abbreviation
diff,略語,differenceの略,abbreviation
dir,略語,directoryの略,abbreviation
doc,略語,documentの略,abbreviation
enum,略語,enumerationの略,abbreviation
env,略語,environmentの略,abbreviation
err,略語,errorの略,abbreviation
exec,略語,executionの略,abbreviation
fn,略語,functionの略,abbreviation
gen,略語,generationの略,abbreviation
id,略語,identification、identifierの略,abbreviation
idx,略語,indexの略,abbreviation
impl,略語,implementationの略,abbreviation
info,略語,informationの略,abbreviation
init,略語,initializationの略,abbreviation
int,略語,integerの略,abbreviation
lib,略語,libraryの略,abbreviation
max,略語,maximumの略,abbreviation
min,略語,minimum、minuteの略,abbreviation
msg,略語,messageの略,abbreviation
num,略語,numberの略,abbreviation
obj,略語,objectの略,abbreviation
op,略語,operationの略,abbreviation
opts,略語,optionsの略,abbreviation
param,略語,parameterの略,abbreviation
params,略語,parametersの略,abbreviation
pos,略語,positionの略,abbreviation
prev,略語,previousの略,abbreviation
prop,略語,propertyの略,abbreviation
props,略語,propertiesの略,abbreviation
ref,略語,referenceの略,abbreviation
refs,略語,referencesの略,abbreviation
regex,略語,regular expressionの略,abbreviation
repo,略語,repositoryの略,abbreviation
req,略語,requestの略,abbreviation
res,略語,responseの略,abbreviation
resp,略語,responseの略,abbreviation
ret,略語,returnの略,abbreviation
spec,略語,specificationの略,abbreviation
src,略語,sourceの略,abbreviation
